,car_name,company_name,year,price,kms_driven,fuel_type
1287,Hyundai i20 ASTA,Hyundai,2021,750000,50000,Petrol
1288,Hyundai Grand i10,Hyundai,2015,310000,12502,Diesel
1289,Honda City 1.5,Honda,2009,275000,84400,Petrol
1290,Hyundai NEW SANTRO,Hyundai,2020,329998,65000,Petrol
1291,Honda City 1.5,Honda,2009,275000,84400,Petrol
1292,Maruti Suzuki Swift,Maruti,2017,450000,75000,Diesel
1293,Volkswagen Polo HIGHLINE1.5L,Volkswagen,2017,370000,90000,Diesel
1294,Maruti Suzuki Swift,Maruti,2022,549000,56000,Petrol
1295,Maruti Suzuki Swift,Maruti,2013,440000,2000,Diesel
1296,Tata Safari Storme,Tata,2017,700000,60000,Diesel
1297,Hyundai Santro Xing,Hyundai,2008,75000,80721,Petrol
1298,Hyundai Santro 1.1,Hyundai,2020,329996,65000,Petrol
1299,Volkswagen Polo Highline1.2L,Volkswagen,2012,250000,47000,Diesel
1300,Maruti Suzuki Baleno,Maruti,2017,529000,53000,Petrol
1301,Renault Kiger RXT,Renault,2021,450000,87000,CNG
1302,Mercedes Benz CLA,Mercedes,2017,1500000,93000,Petrol
1303,Hyundai i20 Sportz,Hyundai,2021,640000,49100,Petrol
1304,Tata Nexon XZ,Tata,2018,610000,98300,Diesel
1305,Maruti Suzuki Dzire,Maruti,2023,680000,70000,CNG
1306,Chevrolet Spark LT,Chevrolet,2014,130000,95000,Petrol
1307,Maruti Suzuki Ertiga,Maruti,2023,980000,72000,Petrol
1308,Tata Nexon XM,Tata,2019,410000,62000,Petrol
1309,Volkswagen Polo Highline1.2L,Volkswagen,2012,250000,47000,Diesel
1310,Toyota Etios Liva,Toyota,2018,765000,89000,Diesel
1311,Hyundai Creta 1.6,Hyundai,2021,1075000,67000,Diesel
1312,Volkswagen Taigun,Volkswagen,2023,1100000,21000,Petrol
1313,Maruti Suzuki Swift,Maruti,2017,450000,75000,Diesel
1314,Volkswagen Polo HIGHLINE1.5L,Volkswagen,2017,370000,90000,Diesel
1315,Maruti Suzuki Swift,Maruti,2022,549000,56000,Petrol
1316,Maruti Suzuki Swift,Maruti,2013,440000,2000,Diesel
1317,Tata Safari Storme,Tata,2017,700000,60000,Diesel
1318,Hyundai Santro Xing,Hyundai,2008,75000,80721,Petrol
1319,Hyundai Santro 1.1,Hyundai,2020,329996,65000,Petrol
1320,Volkswagen Polo Highline1.2L,Volkswagen,2012,250000,47000,Diesel
1321,Maruti Suzuki Baleno,Maruti,2017,529000,53000,Petrol
1322,Renault Kiger RXT,Renault,2021,450000,87000,CNG
1323,Mercedes Benz CLA,Mercedes,2017,1500000,93000,Petrol
1324,Hyundai i20 Sportz,Hyundai,2021,640000,49100,Petrol
1325,Tata Nexon XZ,Tata,2018,610000,98300,Diesel
1326,Maruti Suzuki Dzire,Maruti,2023,680000,70000,CNG
1327,Chevrolet Spark LT,Chevrolet,2014,130000,95000,Petrol
1328,Maruti Suzuki Ertiga,Maruti,2023,980000,72000,Petrol
1329,Tata Nexon XM,Tata,2019,410000,62000,Petrol
1330,Volkswagen Polo Highline1.2L,Volkswagen,2012,250000,47000,Diesel
1331,Toyota Etios Liva,Toyota,2018,765000,89000,Diesel
1332,Hyundai Creta 1.6,Hyundai,2021,1075000,67000,Diesel
1333,Volkswagen Taigun,Volkswagen,2023,1100000,21000,Petrol
1334,Toyota Etios Liva,Toyota,2018,765000,89000,Diesel
1335,Ford EcoSport Titanium,Ford,2017,575000,95000,Diesel
